,IPCA_Mensal,IPCA_12m,Selic_Meta,Expectativa_IPCA_AnoCorrente,PIB_Indice
1999-01-01,0.7,1.65,,,99.26342950973495
1999-02-01,1.05,2.24,,,99.26342950973495
1999-03-01,1.1,3.02,,,99.26342950973495
1999-03-05,1.1,3.02,45.0,,99.26342950973495
1999-03-06,1.1,3.02,45.0,,99.26342950973495
1999-03-07,1.1,3.02,45.0,,99.26342950973495
1999-03-08,1.1,3.02,45.0,,99.26342950973495
1999-03-09,1.1,3.02,45.0,,99.26342950973495
1999-03-10,1.1,3.02,45.0,,99.26342950973495
1999-03-11,1.1,3.02,45.0,,99.26342950973495
1999-03-12,1.1,3.02,45.0,,99.26342950973495
1999-03-13,1.1,3.02,45.0,,99.26342950973495
1999-03-14,1.1,3.02,45.0,,99.26342950973495
1999-03-15,1.1,3.02,45.0,,99.26342950973495
1999-03-16,1.1,3.02,45.0,,99.26342950973495
1999-03-17,1.1,3.02,45.0,,99.26342950973495
1999-03-18,1.1,3.02,45.0,,99.26342950973495
1999-03-19,1.1,3.02,45.0,,99.26342950973495
1999-03-20,1.1,3.02,45.0,,99.26342950973495
1999-03-21,1.1,3.02,45.0,,99.26342950973495
1999-03-22,1.1,3.02,45.0,,99.26342950973495
1999-03-23,1.1,3.02,45.0,,99.26342950973495
1999-03-24,1.1,3.02,45.0,,99.26342950973495
1999-03-25,1.1,3.02,42.0,,99.26342950973495
1999-03-26,1.1,3.02,42.0,,99.26342950973495
1999-03-27,1.1,3.02,42.0,,99.26342950973495
1999-03-28,1.1,3.02,42.0,,99.26342950973495
1999-03-29,1.1,3.02,42.0,,99.26342950973495
1999-03-30,1.1,3.02,42.0,,99.26342950973495
1999-03-31,1.1,3.02,42.0,,99.26342950973495
1999-04-01,0.56,3.35,42.0,,99.779498006099
1999-04-02,0.56,3.35,42.0,,99.779498006099
1999-04-03,0.56,3.35,42.0,,99.779498006099
1999-04-04,0.56,3.35,42.0,,99.779498006099
1999-04-05,0.56,3.35,42.0,,99.779498006099
1999-04-06,0.56,3.35,39.5,,99.779498006099
1999-04-07,0.56,3.35,39.5,,99.779498006099
1999-04-08,0.56,3.35,39.5,,99.779498006099
1999-04-09,0.56,3.35,39.5,,99.779498006099
1999-04-10,0.56,3.35,39.5,,99.779498006099
1999-04-11,0.56,3.35,39.5,,99.779498006099
1999-04-12,0.56,3.35,39.5,,99.779498006099
1999-04-13,0.56,3.35,39.5,,99.779498006099
1999-04-14,0.56,3.35,39.5,,99.779498006099
1999-04-15,0.56,3.35,34.0,,99.779498006099
1999-04-16,0.56,3.35,34.0,,99.779498006099
1999-04-17,0.56,3.35,34.0,,99.779498006099
1999-04-18,0.56,3.35,34.0,,99.779498006099
1999-04-19,0.56,3.35,34.0,,99.779498006099
1999-04-20,0.56,3.35,34.0,,99.779498006099
1999-04-21,0.56,3.35,34.0,,99.779498006099
1999-04-22,0.56,3.35,34.0,,99.779498006099
1999-04-23,0.56,3.35,34.0,,99.779498006099
1999-04-24,0.56,3.35,34.0,,99.779498006099
1999-04-25,0.56,3.35,34.0,,99.779498006099
1999-04-26,0.56,3.35,34.0,,99.779498006099
1999-04-27,0.56,3.35,34.0,,99.779498006099
1999-04-28,0.56,3.35,34.0,,99.779498006099
1999-04-29,0.56,3.35,32.0,,99.779498006099
1999-04-30,0.56,3.35,32.0,,99.779498006099
1999-05-01,0.3,3.14,32.0,,99.779498006099
1999-05-02,0.3,3.14,32.0,,99.779498006099
1999-05-03,0.3,3.14,32.0,,99.779498006099
1999-05-04,0.3,3.14,32.0,,99.779498006099
1999-05-05,0.3,3.14,32.0,,99.779498006099
1999-05-06,0.3,3.14,32.0,,99.779498006099
1999-05-07,0.3,3.14,32.0,,99.779498006099
1999-05-08,0.3,3.14,32.0,,99.779498006099
1999-05-09,0.3,3.14,32.0,,99.779498006099
1999-05-10,0.3,3.14,29.5,,99.779498006099
1999-05-11,0.3,3.14,29.5,,99.779498006099
1999-05-12,0.3,3.14,29.5,,99.779498006099
1999-05-13,0.3,3.14,27.0,,99.779498006099
1999-05-14,0.3,3.14,27.0,,99.779498006099
1999-05-15,0.3,3.14,27.0,,99.779498006099
1999-05-16,0.3,3.14,27.0,,99.779498006099
1999-05-17,0.3,3.14,27.0,,99.779498006099
1999-05-18,0.3,3.14,27.0,,99.779498006099
1999-05-19,0.3,3.14,27.0,,99.779498006099
1999-05-20,0.3,3.14,23.5,,99.779498006099
1999-05-21,0.3,3.14,23.5,,99.779498006099
1999-05-22,0.3,3.14,23.5,,99.779498006099
1999-05-23,0.3,3.14,23.5,,99.779498006099
1999-05-24,0.3,3.14,23.5,,99.779498006099
1999-05-25,0.3,3.14,23.5,,99.779498006099
1999-05-26,0.3,3.14,23.5,,99.779498006099
1999-05-27,0.3,3.14,23.5,,99.779498006099
1999-05-28,0.3,3.14,23.5,,99.779498006099
1999-05-29,0.3,3.14,23.5,,99.779498006099
1999-05-30,0.3,3.14,23.5,,99.779498006099
1999-05-31,0.3,3.14,23.5,,99.779498006099
1999-06-01,0.19,3.32,23.5,,99.779498006099
1999-06-02,0.19,3.32,23.5,,99.779498006099
1999-06-03,0.19,3.32,23.5,,99.779498006099
