ANO;MÊS;INDICE;VAR_PERC_MES;VAR_PERC_TRIM;VAR_PERC_SEMESTRAL;VAR_PERCANO;VAR_PERC_12_MESES
1993;DEZ;100;0;0;0;0;0
1994;JAN;139.17;39.17;154.72;510.69;39.17;2561.94
1994;FEV;194.42;39.7;165.75;546.36;94.42;2834.59
1994;MAR;279.25;43.63;179.25;590.86;179.25;3246.31
1994;ABR;394.44;41.25;183.42;621.94;294.44;3611.84
1994;MAI;568.82;44.21;192.57;677.52;468.82;4062.06
1994;JUN;822.8;44.65;194.65;722.8;722.8;4617.84
1994;JUL;865.67;5.21;119.47;522.02;765.67;3698.62
1994;AGO;908.95;5;59.8;367.52;808.95;2921.84
1994;SET;923.77;1.63;12.27;230.8;823.77;2185.4
1994;OUT;941.32;1.9;8.74;138.65;841.32;1622.88
1994;NOV;969.09;2.95;6.62;70.37;869.09;1224.65
1994;DEZ;990.89;2.25;7.27;20.43;890.89;890.89
1995;JAN;1008.53;1.78;7.14;16.5;1.78;624.67
1995;FEV;1020.83;1.22;5.34;12.31;3.02;425.06
1995;MAR;1033.9;1.28;4.34;11.92;4.34;270.24
1995;ABR;1054.06;1.95;4.51;11.98;6.38;167.23
1995;MAI;1083.26;2.77;6.12;11.78;9.32;90.44
1995;JUN;1107.63;2.25;7.13;11.78;11.78;34.62
1995;JUL;1136.32;2.59;7.8;12.67;14.68;31.26
1995;AGO;1153.25;1.49;6.46;12.97;16.39;26.88
1995;SET;1164.44;0.97;5.13;12.63;17.51;26.05
1995;OUT;1180.04;1.34;3.85;11.95;19.09;25.36
1995;NOV;1197.27;1.46;3.82;10.52;20.83;23.55
1995;DEZ;1213.55;1.36;4.22;9.56;22.47;22.47
1996;JAN;1233.33;1.63;4.52;8.54;1.63;22.29
1996;FEV;1248.13;1.2;4.25;8.23;2.85;22.27
1996;MAR;1255.87;0.62;3.49;7.85;3.49;21.47
1996;ABR;1264.66;0.7;2.54;7.17;4.21;19.98
1996;MAI;1281.35;1.32;2.66;7.02;5.59;18.29
1996;JUN;1295.57;1.11;3.16;6.76;6.76;16.97
1996;JUL;1313.32;1.37;3.85;6.49;8.22;15.58
1996;AGO;1322.51;0.7;3.21;5.96;8.98;14.68
1996;SET;1323.96;0.11;2.19;5.42;9.1;13.7
1996;OUT;1325.81;0.14;0.95;4.84;9.25;12.35
1996;NOV;1331.25;0.41;0.66;3.89;9.7;11.19
1996;DEZ;1333.91;0.2;0.75;2.96;9.92;9.92
1997;JAN;1348.98;1.13;1.75;2.72;1.13;9.38
1997;FEV;1358.56;0.71;2.05;2.73;1.85;8.85
1997;MAR;1366.58;0.59;2.45;3.22;2.45;8.82
1997;ABR;1375.87;0.68;1.99;3.78;3.15;8.79
1997;MAI;1382.75;0.5;1.78;3.87;3.66;7.91
1997;JUN;1390.36;0.55;1.74;4.23;4.23;7.32
1997;JUL;1394.67;0.31;1.37;3.39;4.56;6.19
1997;AGO;1397.04;0.17;1.03;2.83;4.73;5.64
1997;SET;1396.34;-0.05;0.43;2.18;4.68;5.47
1997;OUT;1399.83;0.25;0.37;1.74;4.94;5.58
1997;NOV;1400.81;0.07;0.27;1.31;5.02;5.23
1997;DEZ;1407.67;0.49;0.81;1.25;5.53;5.53
1998;JAN;1415.27;0.54;1.1;1.48;0.54;4.91
1998;FEV;1424.33;0.64;1.68;1.95;1.18;4.84
1998;MAR;1429.88;0.39;1.58;2.4;1.58;4.63
1998;ABR;1433.03;0.22;1.25;2.37;1.8;4.15
1998;MAI;1438.91;0.41;1.02;2.72;2.22;4.06
1998;JUN;1443.8;0.34;0.97;2.57;2.57;3.84
1998;JUL;1442.21;-0.11;0.64;1.9;2.45;3.41
1998;AGO;1436.87;-0.37;-0.14;0.88;2.07;2.85
1998;SET;1430.55;-0.44;-0.92;0.05;1.63;2.45
1998;OUT;1430.69;0.01;-0.8;-0.16;1.64;2.2
1998;NOV;1429.12;-0.11;-0.54;-0.68;1.52;2.02
1998;DEZ;1430.98;0.13;0.03;-0.89;1.66;1.66
1999;JAN;1440.71;0.68;0.7;-0.1;0.68;1.8
1999;FEV;1449.93;0.64;1.46;0.91;1.32;1.8
1999;MAR;1467.62;1.22;2.56;2.59;2.56;2.64
1999;ABR;1479.07;0.78;2.66;3.38;3.36;3.21
1999;MAI;1486.61;0.51;2.53;4.02;3.89;3.32
1999;JUN;1486.31;-0.02;1.27;3.87;3.87;2.94
1999;JUL;1498.05;0.79;1.28;3.98;4.69;3.87
1999;AGO;1510.18;0.81;1.59;4.16;5.53;5.1
1999;SET;1517.28;0.47;2.08;3.38;6.03;6.06
1999;OUT;1529.42;0.8;2.09;3.4;6.88;6.9
1999;NOV;1544.56;0.99;2.28;3.9;7.94;8.08
1999;DEZ;1558.62;0.91;2.72;4.87;8.92;8.92
2000;JAN;1568.75;0.65;2.57;4.72;0.65;8.89
2000;FEV;1574.08;0.34;1.91;4.23;0.99;8.56
2000;MAR;1575.5;0.09;1.08;3.84;1.08;7.35
2000;ABR;1582.9;0.47;0.9;3.5;1.56;7.02
2000;MAI;1584.32;0.09;0.65;2.57;1.65;6.57
2000;JUN;1585.59;0.08;0.64;1.73;1.73;6.68
2000;JUL;1597.96;0.78;0.95;1.86;2.52;6.67
2000;AGO;1629.76;1.99;2.87;3.54;4.56;7.92
2000;SET;1637.09;0.45;3.25;3.91;5.03;7.9
2000;OUT;1640.04;0.18;2.63;3.61;5.22;7.23
2000;NOV;1642.83;0.17;0.8;3.69;5.4;6.36
2000;DEZ;1652.69;0.6;0.95;4.23;6.04;6.04
2001;JAN;1663.1;0.63;1.41;4.08;0.63;6.01
2001;FEV;1671.42;0.5;1.74;2.56;1.13;6.18
2001;MAR;1677.44;0.36;1.5;2.46;1.5;6.47
2001;ABR;1685.83;0.5;1.37;2.79;2.01;6.5
2001;MAI;1694.09;0.49;1.36;3.12;2.51;6.93
2001;JUN;1700.53;0.38;1.38;2.89;2.89;7.25
2001;JUL;1716.51;0.94;1.82;3.21;3.86;7.42
2001;AGO;1736.76;1.18;2.52;3.91;5.09;6.57
2001;SET;1743.36;0.38;2.52;3.93;5.49;6.49
2001;OUT;1749.81;0.37;1.94;3.8;5.88;6.69
2001;NOV;1767.13;0.99;1.75;4.31;6.92;7.57
2001;DEZ;1776.85;0.55;1.92;4.49;7.51;7.51
2002;JAN;1787.87;0.62;2.18;4.16;0.62;7.5
2002;FEV;1795.74;0.44;1.62;3.4;1.06;7.44
2002;MAR;1802.92;0.4;1.47;3.42;1.47;7.48
2002;ABR;1816.98;0.78;1.63;3.84;2.26;7.78
2002;MAI;1824.61;0.42;1.61;3.25;2.69;7.7
2002;JUN;1830.63;0.33;1.54;3.03;3.03;7.65
2002;JUL;1844.73;0.77;1.53;3.18;3.82;7.47
2002;AGO;1863.18;1;2.11;3.76;4.86;7.28
2002;SET;1874.73;0.62;2.41;3.98;5.51;7.54
2002;OUT;1891.6;0.9;2.54;4.11;6.46;8.1
2002;NOV;1930.95;2.08;3.64;5.83;8.67;9.27
2002;DEZ;1989.84;3.05;6.14;8.7;11.99;11.99
2003;JAN;2029.24;1.98;7.28;10;1.98;13.5
2003;FEV;2073.68;2.19;7.39;11.3;4.21;15.48
2003;MAR;2097.32;1.14;5.4;11.87;5.4;16.33
2003;ABR;2121.23;1.14;4.53;12.14;6.6;16.74
2003;MAI;2139.26;0.85;3.16;10.79;7.51;17.24
2003;JUN;2143.97;0.22;2.22;7.75;7.75;17.12
2003;JUL;2140.11;-0.18;0.89;5.46;7.55;16.01
2003;AGO;2145.89;0.27;0.31;3.48;7.84;15.17
2003;SET;2158.12;0.57;0.66;2.9;8.46;15.12
2003;OUT;2172.36;0.66;1.51;2.41;9.17;14.84
2003;NOV;2176.05;0.17;1.41;1.72;9.36;12.69
2003;DEZ;2186.06;0.46;1.29;1.96;9.86;9.86
2004;JAN;2200.93;0.68;1.32;2.84;0.68;8.46
2004;FEV;2220.74;0.9;2.05;3.49;1.59;7.09
2004;MAR;2229.62;0.4;1.99;3.31;1.99;6.31
2004;ABR;2234.3;0.21;1.52;2.85;2.21;5.33
2004;MAI;2246.37;0.54;1.15;3.23;2.76;5.01
2004;JUN;2258.95;0.56;1.32;3.33;3.33;5.36
2004;JUL;2279.96;0.93;2.04;3.59;4.29;6.53
2004;AGO;2297.97;0.79;2.3;3.48;5.12;7.09
2004;SET;2309.23;0.49;2.23;3.57;5.63;7
2004;OUT;2316.62;0.32;1.61;3.68;5.97;6.64
2004;NOV;2331.21;0.63;1.45;3.78;6.64;7.13
2004;DEZ;2350.79;0.84;1.8;4.07;7.54;7.54
2005;JAN;2366.78;0.68;2.17;3.81;0.68;7.54
2005;FEV;2384.29;0.74;2.28;3.76;1.43;7.36
2005;MAR;2392.64;0.35;1.78;3.61;1.78;7.31
2005;ABR;2410.35;0.74;1.84;4.05;2.53;7.88
2005;MAI;2430.36;0.83;1.93;4.25;3.38;8.19
2005;JUN;2433.28;0.12;1.7;3.51;3.51;7.72
2005;JUL;2435.96;0.11;1.06;2.92;3.62;6.84
2005;AGO;2442.78;0.28;0.51;2.45;3.91;6.3
2005;SET;2446.69;0.16;0.55;2.26;4.08;5.95
2005;OUT;2460.39;0.56;1;2.08;4.66;6.21
2005;NOV;2479.58;0.78;1.51;2.03;5.48;6.36
2005;DEZ;2489;0.38;1.73;2.29;5.88;5.88
2006;JAN;2501.69;0.51;1.68;2.7;0.51;5.7
2006;FEV;2514.7;0.52;1.42;2.94;1.03;5.47
2006;MAR;2524;0.37;1.41;3.16;1.41;5.49
2006;ABR;2528.29;0.17;1.06;2.76;1.58;4.89
2006;MAI;2535.12;0.27;0.81;2.24;1.85;4.31
2006;JUN;2531.32;-0.15;0.29;1.7;1.7;4.03
2006;JUL;2530.81;-0.02;0.1;1.16;1.68;3.89
2006;AGO;2535.62;0.19;0.02;0.83;1.87;3.8
2006;SET;2536.89;0.05;0.22;0.51;1.92;3.69
2006;OUT;2544.25;0.29;0.53;0.63;2.22;3.41
2006;NOV;2553.66;0.37;0.71;0.73;2.6;2.99
2006;DEZ;2562.6;0.35;1.01;1.24;2.96;2.96
2007;JAN;2575.93;0.52;1.25;1.78;0.52;2.97
2007;FEV;2587.78;0.46;1.34;2.06;0.98;2.91
2007;MAR;2598.39;0.41;1.4;2.42;1.4;2.95
2007;ABR;2604.11;0.22;1.09;2.35;1.62;3
2007;MAI;2610.88;0.26;0.89;2.24;1.88;2.99
2007;JUN;2618.45;0.29;0.77;2.18;2.18;3.44
2007;JUL;2624.73;0.24;0.79;1.89;2.42;3.71
2007;AGO;2635.75;0.42;0.95;1.85;2.85;3.95
2007;SET;2643.39;0.29;0.95;1.73;3.15;4.2
2007;OUT;2649.74;0.24;0.95;1.75;3.4;4.15
2007;NOV;2655.83;0.23;0.76;1.72;3.64;4
2007;DEZ;2674.42;0.7;1.17;2.13;4.36;4.36
2008;JAN;2693.14;0.7;1.64;2.61;0.7;4.55
2008;FEV;2710.38;0.64;2.05;2.83;1.34;4.74
2008;MAR;2716.61;0.23;1.58;2.77;1.58;4.55
2008;ABR;2732.64;0.59;1.47;3.13;2.18;4.94
2008;MAI;2747.94;0.56;1.39;3.47;2.75;5.25
2008;JUN;2772.67;0.9;2.06;3.67;3.67;5.89
2008;JUL;2790.14;0.63;2.1;3.6;4.33;6.3
2008;AGO;2799.9;0.35;1.89;3.3;4.69;6.23
2008;SET;2807.18;0.26;1.24;3.33;4.96;6.2
2008;OUT;2815.6;0.3;0.91;3.04;5.28;6.26
2008;NOV;2829.4;0.49;1.05;2.96;5.79;6.54
2008;DEZ;2837.6;0.29;1.08;2.34;6.1;6.1
2009;JAN;2848.95;0.4;1.18;2.11;0.4;5.79
2009;FEV;2866.9;0.63;1.33;2.39;1.03;5.77
2009;MAR;2870.05;0.11;1.14;2.24;1.14;5.65
2009;ABR;2880.32;0.36;1.1;2.3;1.51;5.4
2009;MAI;2897.31;0.59;1.06;2.4;2.1;5.44
2009;JUN;2908.32;0.38;1.33;2.49;2.49;4.89
2009;JUL;2914.72;0.22;1.19;2.31;2.72;4.47
2009;AGO;2921.42;0.23;0.83;1.9;2.95;4.34
2009;SET;2926.97;0.19;0.64;1.98;3.15;4.27
2009;OUT;2932.24;0.18;0.6;1.8;3.34;4.14
2009;NOV;2945.14;0.44;0.81;1.65;3.79;4.09
2009;DEZ;2956.33;0.38;1;1.65;4.18;4.18
2010;JAN;2971.7;0.52;1.35;1.95;0.52;4.31
