REUNIAO;DATA;VIGENCIA;META_SELIC_aa;TAXA_SELIC_aa
275ª;10/12/2025;11/12/2025 -;15,00;14,90
274ª;05/11/2025;06/11/2025 - 10/12/2025;15,00;14,90
273ª;17/09/2025;18/09/2025 - 05/11/2025;15,00;14,90
272ª;30/07/2025;31/07/2025 - 17/09/2025;15,00;14,90
271ª;18/06/2025;20/06/2025 - 30/07/2025;15,00;14,90
270ª;07/05/2025;08/05/2025 - 19/06/2025;14,75;14,65
269ª;19/03/2025;20/03/2025 - 07/05/2025;14,25;14,15
268ª;29/01/2025;30/01/2025 - 19/03/2025;13,25;13,15
267ª;11/12/2024;12/12/2024 - 29/01/2025;12,25;12,15
266ª;06/11/2024;07/11/2024 - 11/12/2024;11,25;11,15
265ª;18/09/2024;19/09/2024 - 06/11/2024;10,75;10,65
264ª;31/07/2024;01/08/2024 - 18/09/2024;10,50;10,40
263ª;19/06/2024;20/06/2024 - 31/07/2024;10,50;10,40
262ª;08/05/2024;09/05/2024 - 19/06/2024;10,50;10,40
261ª;20/03/2024;21/03/2024 - 08/05/2024;10,75;10,65
260ª;31/01/2024;01/02/2024 - 20/03/2024;11,25;11,15
259ª;13/12/2023;14/12/2023 - 31/01/2024;11,75;11,65
258ª;01/11/2023;03/11/2023 - 13/12/2023;12,25;12,15
257ª;20/09/2023;21/09/2023 - 02/11/2023;12,75;12,65
256ª;02/08/2023;03/08/2023 - 20/09/2023;13,25;13,15
255ª;21/06/2023;22/06/2023 - 02/08/2023;13,75;13,65
254ª;03/05/2023;04/05/2023 - 21/06/2023;13,75;13,65
253ª;22/03/2023;23/03/2023 - 03/05/2023;13,75;13,65
252ª;01/02/2023;02/02/2023 - 22/03/2023;13,75;13,65
251ª;07/12/2022;08/12/2022 - 01/02/2023;13,75;13,65
250ª;26/10/2022;27/10/2022 - 07/12/2022;13,75;13,65
249ª;21/09/2022;22/09/2022 - 26/10/2022;13,75;13,65
248ª;03/08/2022;04/08/2022 - 21/09/2022;13,75;13,65
247ª;15/06/2022;17/06/2022 - 03/08/2022;13,25;13,15
246ª;04/05/2022;05/05/2022 - 16/06/2022;12,75;12,65
245ª;16/03/2022;17/03/2022 - 04/05/2022;11,75;11,65
244ª;02/02/2022;03/02/2022 - 16/03/2022;10,75;10,65
243ª;08/12/2021;09/12/2021 - 02/02/2022;9,25;9,15
242ª;27/10/2021;28/10/2021 - 08/12/2021;7,75;7,65
241ª;22/09/2021;23/09/2021 - 27/10/2021;6,25;6,15
240ª;04/08/2021;05/08/2021 - 22/09/2021;5,25;5,15
